iteration,energy
1,-1.0036673620232612
2,-0.9523026695190944
3,-0.9894815088955765
4,-0.8946814354066713
5,-1.0005647745666464
6,-0.9962604713068752
7,-1.065998371029684
8,-1.0608044787736461
9,-1.131504843377074
10,-1.0471460009729263
11,-0.8213015505757163
12,-1.1628408211415449
13,-1.2143743203912585
14,-1.223310612178904
15,-1.2346555159642885
16,-1.254469036919303
17,-0.9786878699637578
18,-1.3155055393939659
19,-1.205853927251934
20,-1.3636444875209288
21,-1.1980478142750692
22,-1.3777276207593412
23,-1.363644487520929
24,-1.3677083936771512
25,-1.3765989378591361
26,-1.5867640297131829
27,-1.5504258410107399
28,-1.5501200149272025
29,-1.4181951468165865
30,-1.4957648252941513
31,-1.4500339221751837
32,-1.5113818613988215
33,-1.512045420203976
34,-1.594383868960442
35,-1.5585475074252493
36,-1.5578809017490345
37,-1.4792278124359994
38,-1.5837079199560085
39,-1.55868116320632
40,-1.6123020927832121
41,-1.5915274010126743
42,-1.5386799827267814
43,-1.475884072839846
44,-1.610286897039508
45,-1.5108450934887339
46,-1.6413525879608424
47,-1.5333508095999966
48,-1.5722121539564338
49,-1.6932477823829921
50,-1.5655388692433356
51,-1.6420013614569178
52,-1.6711272341466052
53,-1.6180719654679472
54,-1.7171152823207807
55,-1.5289527036637476
56,-1.6990101350507572
57,-1.6587954883980425
58,-1.7037928492063574
59,-1.7275185529461683
60,-1.7078766275539292
61,-1.7035003021838073
62,-1.5578674135831079
63,-1.6701084018231798
64,-1.6677352277866604
65,-1.677285007614772
66,-1.5436618203945869
67,-1.6743624270784985
68,-1.6735582126930681
69,-1.7319247520493435
70,-1.6200038920169353
71,-1.6439675157164355
72,-1.6468325826457642
73,-1.73873893844818
74,-1.569606422880976
75,-1.7302875177257986
76,-1.5602727042163298
77,-1.7066247663636376
78,-1.6306444254472388
79,-1.7079758091607347
80,-1.7061115658587036
81,-1.744166398731654
82,-1.727095727687903
83,-1.7444112456978225
84,-1.746441322194503
85,-1.7506969426259134
86,-1.7452154755327367
87,-1.7517283386969873
88,-1.7618563451299558
89,-1.7734711012136624
90,-1.7752757555592213
91,-1.7764123813952661
92,-1.7790893284346407
93,-1.7848269424954741
94,-1.7877830489504067
95,-1.7934814680728968
96,-1.789706964236145
97,-1.7943170126616281
98,-1.8007992866847111
99,-1.803646707682259
100,-1.8011994116907026
101,-1.8020795024026124
102,-1.8032599428443017
103,-1.8020766108684567
104,-1.8018028185667752
105,-1.8039139639054342
106,-1.8056165920260845
107,-1.806421685760522
108,-1.8022499078091967
109,-1.8071580222448558
110,-1.8009421657785059
111,-1.8085920354019835
112,-1.811310911512279
113,-1.8136830630355731
114,-1.8121322418202617
115,-1.8112064939580554
116,-1.8137312792987395
117,-1.815224797716346
118,-1.8141680112818923
119,-1.813577238998207
120,-1.8156536150639568
121,-1.8167017002883608
122,-1.8160262984106845
123,-1.8155063858435505
124,-1.8156064559041127
125,-1.816980534624888
126,-1.815784318881854
127,-1.8145927751941655
128,-1.8186194458757319
129,-1.8166505788212384
130,-1.8168531950423825
131,-1.8181446892772621
132,-1.8195049167357524
133,-1.8188844229678796
134,-1.8187607984611152
135,-1.815206551331765
136,-1.8194475456674062
137,-1.8213531771031835
138,-1.8201133710063093
139,-1.8198626390410022
140,-1.8242826721888332
141,-1.8240724537389803
142,-1.8234641077821225
143,-1.8248788467447583
144,-1.8246305812128012
145,-1.8230819551808692
146,-1.8248655854679903
147,-1.8257986618869655
148,-1.8263104497883214
149,-1.8258697470072747
150,-1.8266561882194052
151,-1.8263038787268369
152,-1.8257293928331617
153,-1.8269208718951346
154,-1.8256755793171626
155,-1.826371718016485
156,-1.82778322545122
157,-1.824419953164705
158,-1.8281954404676886
159,-1.8283247217298926
160,-1.8277789635732358
161,-1.8290742513219824
162,-1.8291428058240913
163,-1.8294333153028366
164,-1.8276601112872322
165,-1.8274942905951768
166,-1.8293595006872374
167,-1.828558704093215
168,-1.8292179313479653
169,-1.8293264061603005
170,-1.8315097158456606
171,-1.8289602163898926
172,-1.8315066333732022
173,-1.8301165203341756
174,-1.831830313301039
175,-1.8308308561098265
176,-1.8299942025181326
177,-1.8314940242375606
178,-1.8321002515887135
179,-1.8303492890714208
180,-1.8315627006684032
181,-1.8314069416719176
182,-1.8323601384133918
183,-1.8321427119496394
184,-1.831820240695456
185,-1.831585350968614
186,-1.8322562312988477
187,-1.831781666474547
188,-1.8322808709038225
189,-1.8310944826017999
190,-1.8317765507513535
191,-1.8312996677514581
192,-1.8313836982763303
193,-1.8328635611877866
194,-1.832370402576824
195,-1.8321766469176415
196,-1.8334391382044026
197,-1.832663493761443
198,-1.8326195218115018
199,-1.8330629167571355
200,-1.832952887250362
