pauli,coef_paper
IIIX,0.002792
IIIZ,-0.364746
IIXI,0.012585
IIXX,-0.02964
IIXZ,0.012585
IIYY,0.02964
IIZI,0.096022
IIZX,-0.002792
IIZZ,-0.206128
IXII,0.002792
IXIX,0.009327
IXIZ,0.008025
IXXI,-0.001271
IXXX,0.007499
IXXZ,-0.001271
IXYY,-0.007499
IXZI,-0.016781
IXZX,-0.009327
IXZZ,-0.009769
IZII,0.364746
IZIX,-0.008025
IZIZ,-0.095216
IZXI,0.007265
IZXX,-0.02428
IZXZ,0.007265
IZYY,0.02428
IZZI,0.110811
IZZX,0.008025
IZZZ,-0.063673
XIII,0.012585
XIIX,-0.001271
XIIZ,-0.007265
XIXI,0.002667
XIXX,-0.008195
XIXZ,0.002667
XIYY,0.008195
XIZI,0.011962
XIZX,0.001271
XIZZ,0.000247
XXII,-0.02964
XXIX,0.007499
XXIZ,0.02428
XXXI,-0.008195
XXXX,0.028926
XXXZ,-0.008195
XXYY,-0.028926
XXZI,-0.039155
XXZX,-0.007499
XXZZ,-0.002895
XZII,-0.012585
XZIX,0.001271
XZIZ,0.007265
XZXI,-0.002667
XZXX,0.008195
XZXZ,-0.002667
XZYY,-0.008195
XZZI,-0.011962
XZZX,-0.001271
XZZZ,-0.000247
YYII,0.02964
YYIX,-0.007499
YYIZ,-0.02428
YYXI,0.008195
YYXX,-0.028926
YYXZ,0.008195
YYYY,0.028926
YYZI,0.039155
YYZX,0.007499
YYZZ,0.002895
ZIII,-0.096022
ZIIX,0.016781
ZIIZ,0.110811
ZIXI,-0.011962
ZIXX,0.039155
ZIXZ,-0.011962
ZIYY,-0.039155
ZIZI,-0.145438
ZIZX,-0.016781
ZIZZ,0.05604
ZXII,0.002792
ZXIX,0.009327
ZXIZ,0.008025
ZXXI,-0.001271
ZXXX,0.007499
ZXXZ,-0.001271
ZXYY,-0.007499
ZXZI,-0.016781
ZXZX,-0.009327
ZXZZ,-0.009769
ZZII,-0.206128
ZZIX,-0.009769
ZZIZ,0.063673
ZZXI,0.000247
ZZXX,-0.002895
ZZXZ,0.000247
ZZYY,0.002895
ZZZI,-0.05604
ZZZX,0.009769
ZZZZ,0.080334
