pauli,coef_paper,coef_local,abs_diff
ZIII,-0.096022,-0.5869170581293391,0.49089505812933915
IZZI,0.110811,-0.27488261912197165,0.38569361912197164
ZZII,-0.206128,-0.5869170581293384,0.3807890581293384
IZIZ,-0.095216,0.27488261912197165,0.3700986191219716
IIIZ,-0.364746,-0.10352031955475074,0.2612256804452493
IZII,0.364746,0.16251177067396919,0.20223422932603083
IZZZ,-0.063673,0.11412682976513655,0.17779982976513653
IIII,0.0,0.1739278038389946,0.1739278038389946
ZIZI,-0.145438,-0.0019381084432043214,0.14349989155679568
ZIIZ,0.110811,0.0019381084432043144,0.10887289155679569
ZZZZ,0.080334,0.0,0.080334
ZZIZ,0.063673,0.0019381084432041895,0.061734891556795804
ZIZZ,0.05604,0.0,0.05604
ZZZI,-0.05604,-0.0019381084432041965,0.0541018915567958
XXII,-0.02964,0.010337457101952987,0.03997745710195299
ZIYY,-0.039155,0.0,0.039155
XXZI,-0.039155,0.0,0.039155
ZIXX,0.039155,0.0,0.039155
IIXX,-0.02964,0.0058659380639243894,0.03550593806392439
XXYY,-0.028926,0.006069910509310755,0.03499591050931075
IZXX,-0.02428,0.0058659380639243894,0.03014593806392439
IIYY,0.02964,0.0,0.02964
YYII,0.02964,0.0,0.02964
YYYY,0.028926,0.0,0.028926
YYXX,-0.028926,0.0,0.028926
YYZI,0.039155,0.010337457101952987,0.028817542898047013
ZXZI,-0.016781,0.01033745710195298,0.02711845710195298
IZYY,0.02428,0.0,0.02428
XXIZ,0.02428,0.0,0.02428
XXXX,0.028926,0.006069910509310755,0.022856089490689246
XIII,0.012585,-0.008434569756845508,0.021019569756845508
XZII,-0.012585,0.008434569756845508,0.021019569756845508
IZZX,0.008025,-0.01291070026171262,0.02093570026171262
IXZZ,-0.009769,0.01033745710195298,0.020106457101952982
ZXIZ,0.008025,-0.01033745710195298,0.01836245710195298
ZIXI,-0.011962,0.005345888302370169,0.01730788830237017
ZIZX,-0.016781,0.0,0.016781
IXZI,-0.016781,0.0,0.016781
IZIX,-0.008025,0.007564719082081207,0.015589719082081207
ZZIX,-0.009769,0.005345888302370169,0.015114888302370169
ZXIX,0.009327,-0.004797919551977391,0.01412491955197739
IXZX,-0.009327,0.004797919551977391,0.01412491955197739
YYIZ,-0.02428,-0.010337457101952987,0.013942542898047012
IXXX,0.007499,-0.006069910509310752,0.013568910509310752
IXII,0.002792,-0.01033745710195298,0.013129457101952981
XXXZ,-0.008195,0.004797919551977395,0.012992919551977393
YYXI,0.008195,-0.004797919551977395,0.012992919551977393
XIZI,0.011962,0.0,0.011962
ZIXZ,-0.011962,0.0,0.011962
XZZI,-0.011962,0.0,0.011962
ZIIX,0.016781,0.005345888302370169,0.011435111697629832
IIZX,-0.002792,-0.01291070026171262,0.010118700261712618
ZXZZ,-0.009769,0.0,0.009769
ZZZX,0.009769,0.0,0.009769
ZXZX,-0.009327,0.0,0.009327
IXIX,0.009327,0.0,0.009327
XIXX,-0.008195,0.0,0.008195
XZXX,0.008195,0.0,0.008195
XZYY,-0.008195,0.0,0.008195
XIYY,0.008195,0.0,0.008195
XXXI,-0.008195,0.0,0.008195
YYXZ,0.008195,0.0,0.008195
IXIZ,0.008025,0.0,0.008025
ZXYY,-0.007499,0.0,0.007499
ZXXX,0.007499,0.0,0.007499
XXIX,0.007499,0.0,0.007499
YYZX,0.007499,0.0,0.007499
IIZI,0.096022,0.10352031955475063,0.007498319554750638
XXZZ,-0.002895,-0.010337457101952987,0.007442457101952987
XIIZ,-0.007265,0.0,0.007265
XZIZ,0.007265,0.0,0.007265
YXXY,0.0,0.006069910509310755,0.006069910509310755
YXYX,0.0,-0.006069910509310755,0.006069910509310755
ZYYX,0.0,0.006069910509310752,0.006069910509310752
ZYXY,0.0,-0.006069910509310752,0.006069910509310752
IZXZ,0.007265,0.01291070026171262,0.0056457002617126195
ZZXI,0.000247,0.005345888302370169,0.005098888302370169
IIXI,0.012585,0.007564719082081207,0.005020280917918793
XYIY,0.0,0.004797919551977395,0.004797919551977395
YXZY,0.0,-0.004797919551977395,0.004797919551977395
YXYZ,0.0,-0.004797919551977395,0.004797919551977395
XYYI,0.0,-0.004797919551977395,0.004797919551977395
IYIY,0.0,-0.004797919551977391,0.004797919551977391
ZYZY,0.0,0.004797919551977391,0.004797919551977391
ZYYZ,0.0,0.004797919551977391,0.004797919551977391
IYYI,0.0,0.004797919551977391,0.004797919551977391
IIIX,0.002792,0.007564719082081207,0.004772719082081207
ZXXI,-0.001271,-0.004797919551977391,0.003526919551977391
IXXZ,-0.001271,-0.004797919551977391,0.003526919551977391
IIZZ,-0.206128,-0.20924383225055548,0.003115832250555478
ZZYY,0.002895,0.0,0.002895
ZZXX,-0.002895,0.0,0.002895
YYZZ,0.002895,0.0,0.002895
ZXII,0.002792,0.0,0.002792
XXZX,-0.007499,-0.004797919551977395,0.002701080448022605
YYIX,-0.007499,-0.004797919551977395,0.002701080448022605
XIXI,0.002667,0.0,0.002667
XZXI,-0.002667,0.0,0.002667
XZXZ,-0.002667,0.0,0.002667
XIXZ,0.002667,0.0,0.002667
IXYY,-0.007499,-0.006069910509310752,0.0014290894906892476
IXXI,-0.001271,0.0,0.001271
XIIX,-0.001271,0.0,0.001271
XZIX,0.001271,0.0,0.001271
XIZX,0.001271,0.0,0.001271
ZXXZ,-0.001271,0.0,0.001271
XZZX,-0.001271,0.0,0.001271
IIXZ,0.012585,0.01291070026171262,0.00032570026171261854
IZXI,0.007265,0.007564719082081207,0.00029971908208120766
XIZZ,0.000247,0.0,0.000247
ZZXZ,0.000247,0.0,0.000247
XZZZ,-0.000247,0.0,0.000247
