pauli,coef_real,coef_imag,abs_coef
ZIII,-0.5940796053042529,0.0,0.5940796053042529
ZZII,-0.5940796053042527,0.0,0.5940796053042527
IZIZ,0.2763928192392885,0.0,0.2763928192392885
IZZI,-0.2763928192392884,0.0,0.2763928192392884
IIII,0.212241647408485,0.0,0.212241647408485
IIZZ,-0.20629830955234674,0.0,0.20629830955234674
IZII,0.16549963177028237,0.0,0.16549963177028237
IZZZ,0.11180502239531129,0.0,0.11180502239531129
IIIZ,-0.1025360641754269,0.0,0.1025360641754269
IIZI,0.1025360641754269,0.0,0.1025360641754269
IIZX,-0.014015941086581033,0.0,0.014015941086581033
IZZX,-0.014015941086581033,0.0,0.014015941086581033
IIXZ,0.014015941086581033,0.0,0.014015941086581033
IZXZ,0.014015941086581033,0.0,0.014015941086581033
YYZI,0.010319173905339476,0.0,0.010319173905339476
YYIZ,-0.010319173905339476,0.0,0.010319173905339476
XXII,0.010319173905339476,0.0,0.010319173905339476
XXZZ,-0.010319173905339476,0.0,0.010319173905339476
IXII,-0.010319173905339476,0.0,0.010319173905339476
ZXZI,0.010319173905339476,0.0,0.010319173905339476
ZXIZ,-0.010319173905339476,0.0,0.010319173905339476
IXZZ,0.010319173905339476,0.0,0.010319173905339476
IZIX,0.010145003328412705,0.0,0.010145003328412705
IIIX,0.010145003328412705,0.0,0.010145003328412705
IIXI,0.010145003328412703,0.0,0.010145003328412703
IZXI,0.010145003328412703,0.0,0.010145003328412703
XIII,-0.0084345697568455,0.0,0.0084345697568455
XZII,0.0084345697568455,0.0,0.0084345697568455
IIXX,0.006531991790412036,0.0,0.006531991790412036
IZXX,0.006531991790412036,0.0,0.006531991790412036
ZYYX,0.005855668417385359,0.0,0.005855668417385359
IXYY,-0.005855668417385359,0.0,0.005855668417385359
XXXX,0.005855668417385359,0.0,0.005855668417385359
YXYX,-0.005855668417385359,0.0,0.005855668417385359
YXXY,0.005855668417385359,0.0,0.005855668417385359
XXYY,0.005855668417385359,0.0,0.005855668417385359
IXXX,-0.005855668417385359,0.0,0.005855668417385359
ZYXY,-0.005855668417385359,0.0,0.005855668417385359
ZXXI,-0.004819223178380429,0.0,0.004819223178380429
ZXIX,-0.004819223178380429,0.0,0.004819223178380429
IYYI,0.004819223178380429,0.0,0.004819223178380429
IXZX,0.004819223178380429,0.0,0.004819223178380429
ZYYZ,0.004819223178380429,0.0,0.004819223178380429
IXXZ,-0.004819223178380429,0.0,0.004819223178380429
ZYZY,0.004819223178380429,0.0,0.004819223178380429
IYIY,-0.004819223178380429,0.0,0.004819223178380429
YYXI,-0.004819223178380426,0.0,0.004819223178380426
YYIX,-0.004819223178380426,0.0,0.004819223178380426
XYIY,0.004819223178380426,0.0,0.004819223178380426
XYYI,-0.004819223178380426,0.0,0.004819223178380426
YXZY,-0.004819223178380426,0.0,0.004819223178380426
YXYZ,-0.004819223178380426,0.0,0.004819223178380426
XXXZ,0.004819223178380426,0.0,0.004819223178380426
XXZX,-0.004819223178380426,0.0,0.004819223178380426
ZIIX,0.0038709441153459544,0.0,0.0038709441153459544
ZZIX,0.0038709441153459544,0.0,0.0038709441153459544
ZIXI,0.0038709441153459536,0.0,0.0038709441153459536
ZZXI,0.0038709441153459536,0.0,0.0038709441153459536
ZIIZ,-0.0014464207234565624,0.0,0.0014464207234565624
ZIZI,0.0014464207234565554,0.0,0.0014464207234565554
ZZIZ,-0.001446420723456493,0.0,0.001446420723456493
ZZZI,0.0014464207234564722,0.0,0.0014464207234564722
